Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
3708,40900,191000,0.576,1774,1366,159,2,0,2,2,3,1,27.75890411,528,0,1,0
3709,49200,270800,0.274,2292,280,0,2,1,2,4,8,1,53.77534247,0,0,1,0
3710,17400,71000,0.198,893,0,152,1,0,0,2,2,0,59.78082192,0,0,1,0
3711,15200,38300,0.15,891,0,0,1,0,0,2,2,0,95.80547945,0,1,0,0
3712,25900,93900,0.166,1130,0,0,1,0,0,3,3,1,71.7890411,0,0,1,0
3713,26100,82400,0.174,864,0,56,1,0,0,3,2,1,60.78082192,0,0,1,0
3714,19700,108600,0.321,1536,0,0,1,0,1,3,3,1,45.76986301,0,0,0,0
3715,19000,76800,0.174,1574,0,0,1,0,0,3,2,0,60.78082192,280,0,0,0
3716,22300,50700,0.136,832,0,0,1,0,1,2,3,0,85.79726027,0,1,0,0
3717,22400,65100,0.434,1024,0,198,1,0,0,3,1,1,56.77808219,0,0,1,0
3718,48200,166000,0.236,1752,288,0,1,1,1,3,4,1,85.79726027,0,0,1,0
3719,16600,99900,0.159,997,400,104,1,0,0,3,2,1,53.77534247,0,0,1,0
3720,11200,42300,0.122,1029,0,0,1,0,0,3,3,1,97.80547945,0,0,0,0
3721,27600,118400,0.15,1498,450,192,2,0,0,3,3,1,70.7890411,240,0,1,0
3722,14400,107800,0.152,1560,0,0,2,0,0,3,2,1,79.79452055,0,0,1,0
3723,24300,92600,0.149,894,0,204,1,1,1,2,2,1,87.8,0,0,1,0
3724,9400,48900,0.224,997,400,0,1,0,0,2,4,1,127.8246575,0,1,0,0
3725,24600,97600,0.162,2157,0,0,1,1,1,3,6,1,95.80547945,0,0,1,0
3726,20000,91400,0.145,924,304,0,1,0,0,3,2,1,46.77260274,0,0,1,0
3727,14800,52300,0.174,620,0,96,1,0,0,2,2,1,55.77808219,0,0,0,0
3728,4500,17200,0.137,816,0,256,1,0,0,2,2,0,92.80273973,0,1,0,0
3729,19400,112700,0.191,1006,360,120,1,0,1,3,2,1,16.75068493,0,0,0,0
3730,24600,99300,0.16,1180,0,48,1,0,1,3,2,1,94.80547945,0,0,1,0
3731,27800,128500,0.235,1040,500,216,1,1,1,4,3,1,41.76712329,528,0,1,0
3732,28300,132100,0.49,1808,0,0,1,1,1,4,4,1,81.79452055,0,0,1,0
3733,29000,120300,0.239,1102,420,0,2,1,1,3,2,1,15.75068493,130,0,0,0
3734,27300,116300,0.187,1072,400,120,2,1,1,3,2,1,21.75342466,120,0,1,0
3735,16200,62600,0.149,980,0,0,1,0,0,2,3,0,103.8109589,0,0,1,0
3736,23900,104000,0.34,1082,144,130,1,0,0,4,2,1,39.76712329,0,0,1,0
3737,18200,55500,0.257,1004,0,0,1,0,0,3,3,0,103.8109589,0,0,1,0
3738,11100,71900,0.174,1911,0,0,2,1,1,5,3,0,77.79178082,0,0,1,0
3739,27300,118700,0.175,1140,0,0,1,0,0,2,3,1,54.77808219,240,0,1,0
3740,21400,82300,0.172,912,0,0,1,0,0,3,2,1,51.77534247,0,0,1,0
3741,6300,48300,0.252,1080,0,0,1,0,0,2,4,1,67.78630137,0,1,0,0
3742,30900,64400,0.228,1248,0,0,1,0,0,3,3,0,108.8136986,0,1,0,0
3743,12700,41200,0.172,1153,0,0,1,0,0,3,2,0,100.8082192,0,1,0,0
3744,19300,52200,0.16,823,0,0,1,0,0,2,2,0,62.78356164,0,0,1,0
3745,22200,103700,0.209,1600,100,0,1,2,0,4,3,1,39.76712329,0,0,1,0
3746,27400,123000,0.246,1717,0,0,3,1,0,4,2,1,18.75342466,400,0,0,0
3747,18900,115700,0.184,1036,400,0,2,0,1,3,2,1,34.76438356,200,0,1,0
3748,10200,47300,0.088,704,0,0,1,0,0,2,2,0,85.79726027,0,0,0,0
3749,22600,142200,0.23,1643,0,356,2,0,0,4,2,1,19.75342466,420,0,0,0
3750,28800,104900,0.195,1479,500,0,2,0,1,4,3,1,92.80273973,0,0,1,0
3751,35800,135200,0.248,1936,0,0,2,0,1,3,5,0,78.79452055,0,0,1,0
3752,29000,128800,0.222,1485,0,336,1,0,0,3,4,1,57.77808219,0,1,0,0
3753,11900,80500,0.157,880,0,246,1,0,0,3,2,1,41.76712329,0,0,1,0
3754,14900,60600,0.143,660,0,0,1,0,0,2,2,1,70.7890411,0,0,1,0
3755,15500,46900,0.152,988,0,0,1,0,0,2,3,1,86.8,0,1,0,0
3756,22700,98300,0.161,1184,0,0,1,0,1,3,3,1,76.79178082,0,0,1,0
3757,30100,130000,1.336,960,700,632,2,0,1,3,2,0,50.77534247,0,0,1,0
3758,22600,87200,0.152,900,0,0,1,1,0,2,3,1,81.79452055,0,0,1,0
3759,16900,74700,0.17,1517,0,0,1,0,1,4,2,0,61.78082192,0,0,1,0
3760,20400,92200,0.207,960,400,63,1,0,0,3,2,1,39.76712329,0,0,1,0
3761,21300,71900,0.253,640,0,0,1,0,0,2,2,1,60.78082192,0,0,0,0
3762,14600,50500,0.15,788,0,210,1,0,0,3,3,1,110.8136986,0,0,1,0
3763,20100,102900,0.275,1190,560,144,2,0,2,3,2,1,50.77534247,252,0,1,0
3764,27600,133600,0.224,1686,300,0,1,1,1,4,3,1,44.76986301,0,0,0,0
3765,23800,94800,0.223,968,540,208,1,0,0,3,2,0,55.77808219,0,0,1,0
3766,6000,62600,0.134,1234,0,0,2,0,0,3,4,1,113.8136986,0,0,1,0
3767,25900,100600,0.161,1425,0,0,1,1,0,4,3,1,69.78630137,0,0,0,0
3768,5400,56700,0.134,1552,0,240,1,1,0,4,3,1,76.79178082,0,0,0,0
3769,34900,233000,0.298,2541,0,272,2,0,1,4,5,1,12.74794521,629,0,0,0
3770,26100,16500,0.402,1134,0,0,1,0,0,3,3,0,82.79726027,0,1,0,0
3771,26200,93600,0.302,857,600,127,1,0,1,2,2,1,19.75342466,0,0,1,0
3772,15900,72600,0.137,900,0,0,1,0,0,4,2,1,60.78082192,0,0,1,0
3773,9000,43800,0.153,1054,0,0,1,0,0,3,2,0,104.8109589,0,0,0,0
3774,30500,98700,0.181,1264,0,324,1,0,1,2,4,1,86.8,0,0,1,0
3775,18300,75200,0.247,720,0,0,1,0,0,2,2,1,55.77808219,0,0,0,0
3776,30700,157500,0.23,1856,0,444,2,1,1,3,3,1,28.75890411,484,0,1,0
3777,6200,43900,0.148,1232,0,0,1,0,0,2,3,1,125.8219178,0,0,1,0
3778,27200,86800,0.179,744,0,0,1,0,0,2,2,1,60.78082192,0,0,1,0
3779,28600,71200,0.417,782,0,0,1,0,0,2,2,1,64.78356164,0,0,1,0
3780,17800,95900,0.164,952,0,92,1,0,0,3,2,1,41.76712329,0,0,1,0
3781,47700,75200,0.657,1577,0,176,1,0,0,3,3,1,90.80273973,0,0,1,0
3782,17900,100100,0.165,1141,400,190,1,0,0,3,2,1,56.77808219,0,0,1,0
3783,16300,79700,0.202,1456,0,0,1,0,0,3,3,1,98.80821918,0,0,1,0
3784,24000,89600,0.275,944,0,0,1,0,0,3,2,1,51.77534247,0,0,1,0
3785,30700,88200,0.224,1092,150,0,1,0,0,3,2,1,65.78356164,0,0,1,0
3786,26200,92700,0.312,1333,400,0,1,1,1,3,2,1,72.7890411,0,0,1,0
3787,23200,93600,0.241,1324,0,400,1,0,1,2,3,1,56.77808219,0,0,0,0
3788,17200,65800,0.161,624,200,0,1,0,1,2,2,0,69.78630137,0,0,1,0
3789,16000,85600,0.153,884,0,146,1,0,0,3,2,1,39.76712329,0,0,0,0
3790,37300,148300,0.429,1740,432,130,2,1,1,4,5,1,43.76986301,0,0,1,0
3791,25600,73900,0.23,1069,300,0,1,0,0,2,3,0,59.78082192,0,0,0,0
3792,25400,63000,0.466,782,0,220,1,0,0,2,3,1,100.8082192,0,0,1,0
3793,11900,51200,0.172,768,0,0,1,0,0,2,2,0,60.78082192,0,0,0,0
3794,26400,174300,0.211,1922,625,212,2,2,1,3,4,1,21.75342466,484,0,0,0
3795,16200,76000,0.149,1001,0,200,1,0,0,2,2,1,93.80273973,0,0,1,0
3796,20100,105300,0.212,1032,0,0,1,0,0,2,3,1,12.74794521,0,0,1,0
3797,50800,122800,0.359,1587,312,0,2,0,1,3,2,1,82.79726027,0,0,1,0
3798,29000,92800,0.216,1383,500,0,1,0,0,2,3,1,55.77808219,304,0,1,0
3799,12400,39600,0.143,815,0,0,1,0,0,2,2,1,97.80547945,0,0,0,0
3800,17500,73900,0.152,874,0,64,1,0,0,2,2,1,84.79726027,0,0,1,0
3801,14900,63700,0.16,711,220,56,1,0,0,2,2,1,93.80273973,0,0,1,0
3802,13900,97200,0.166,1034,0,152,1,0,0,3,2,1,8.745205479,0,0,0,0
3803,17800,83400,0.156,1240,0,0,1,0,1,3,3,1,71.7890411,0,0,1,0
3804,18400,56700,0.159,960,0,0,1,0,0,2,2,1,59.78082192,0,1,0,0
3805,35200,68800,0.91,1152,0,0,1,0,0,2,3,1,86.8,0,1,0,0
3806,21400,95100,0.17,988,266,0,1,0,0,3,2,1,48.77260274,0,0,1,0
3807,32900,99200,0.348,1190,0,0,1,0,0,2,3,1,62.78356164,0,0,1,0
3808,28100,102900,0.2,1544,0,0,1,0,0,3,1,0,83.79726027,0,0,1,0
3809,19600,98200,0.152,1461,0,0,1,0,0,4,3,1,87.8,0,0,1,0
3810,12800,51100,0.16,856,0,0,1,0,0,2,3,1,95.80547945,0,0,1,0
3811,4100,51400,0.138,900,0,0,1,0,0,3,2,0,65.78356164,0,0,1,0
3812,19300,68200,0.174,938,0,0,1,0,0,2,3,1,90.80273973,0,0,1,0
3813,9300,126700,0.086,2250,0,0,1,1,1,4,4,0,94.80547945,26,0,1,0
3814,5600,37900,0.121,768,300,0,1,0,0,2,2,1,100.8082192,0,0,0,0
3815,48700,206900,0.239,1887,0,512,1,1,1,3,3,1,86.8,0,0,1,0
3816,23800,95900,0.172,831,400,235,1,0,0,2,3,1,33.76164384,0,0,1,0
3817,23300,63100,0.193,874,0,0,1,0,0,2,2,1,85.79726027,0,0,1,0
3818,18800,114700,0.154,1082,0,100,2,0,0,3,2,1,20.75342466,0,0,0,0
3819,18500,110500,0.19,1183,0,0,2,1,2,4,2,1,34.76438356,0,0,1,0
3820,22200,96100,0.212,1162,0,0,1,0,0,2,3,1,49.77260274,0,0,1,0
3821,19800,79700,0.201,864,0,0,1,0,0,3,2,1,54.77808219,0,0,1,0
3822,5700,46400,0.152,1230,0,0,1,0,0,3,3,1,112.8136986,0,0,0,0
3823,12800,60000,0.162,828,420,48,1,1,0,2,2,0,60.78082192,0,0,1,0
3824,16000,27700,0.145,864,0,0,1,0,0,3,2,0,70.7890411,0,1,0,0
3825,19600,63600,0.164,1296,0,184,1,0,0,3,3,1,100.8082192,360,0,0,0
3826,23100,109400,0.152,1195,0,40,1,0,0,3,1,1,61.78082192,0,0,1,0
3827,13500,74100,0.193,990,0,96,1,0,0,2,4,1,51.77534247,0,0,1,0
3828,27700,124300,0.215,1502,250,0,1,1,0,3,2,1,55.77808219,0,0,1,0
3829,20300,90500,0.17,1008,0,154,1,1,0,3,2,1,60.78082192,0,0,1,0
3830,33200,126200,0.365,1408,0,120,2,1,1,3,2,1,12.74794521,400,0,0,0
3831,21700,92100,0.258,1116,124,216,1,0,1,2,3,1,67.78630137,0,0,1,0
3832,18200,79300,0.189,800,336,0,1,0,1,2,2,1,63.78356164,0,0,1,0
3833,32500,143500,0.197,1858,0,120,2,1,1,3,5,1,11.74794521,498,0,0,0
3834,15100,68500,0.131,1012,0,0,1,0,0,2,3,1,93.80273973,0,0,1,0
3835,32700,51400,0.226,1170,0,0,1,0,1,3,2,1,71.7890411,0,1,0,0
3836,8800,127000,0.236,1317,0,18,2,1,0,3,2,1,4.742465753,0,0,0,0
3837,13800,29100,0.133,658,0,0,1,0,0,2,2,1,100.8082192,0,1,0,0
3838,13700,40400,0.26,672,0,0,1,0,0,2,2,1,57.77808219,0,0,0,0
3839,10500,50500,0.177,676,0,80,1,0,0,2,2,1,59.78082192,0,0,1,0
3840,35900,120100,0.484,1230,0,120,2,0,0,3,2,1,3.742465753,0,0,0,0
3841,16300,41800,0.152,624,0,0,1,0,0,2,3,0,103.8109589,0,0,0,0
3842,21800,103700,0.172,1071,294,0,1,1,1,3,2,1,49.77260274,0,0,1,0
3843,12200,58500,0.149,1037,0,0,1,0,0,3,2,0,85.79726027,0,0,1,0
3844,20900,86300,0.155,1309,0,0,1,0,0,3,3,1,90.80273973,0,0,1,0
3845,29100,148000,0.19,1438,0,0,2,0,1,3,3,1,74.79178082,252,0,1,0
3846,11900,58400,0.152,660,0,0,1,0,0,2,2,1,30.76164384,0,0,1,0
3847,17700,94000,0.207,1092,546,0,1,0,0,3,2,1,55.77808219,0,0,1,0
3848,32500,140400,0.317,2420,0,0,1,0,2,3,5,1,94.80547945,0,0,1,0
3849,32000,122600,0.193,1548,0,144,1,1,1,3,3,1,80.79452055,0,1,0,0
3850,13700,83700,0.193,874,0,240,1,0,0,3,2,1,52.77534247,0,0,1,0
3851,47900,169000,0.205,1666,0,0,2,0,1,3,2,1,74.79178082,0,0,1,0
3852,22300,80400,0.16,1326,0,112,1,0,0,3,3,1,98.80821918,0,0,1,0
3853,6600,37100,0.201,1289,0,0,1,0,0,2,4,0,120.8191781,0,1,0,0
3854,13700,87000,0.147,1032,0,0,1,0,0,3,2,1,58.78082192,0,0,1,0
3855,18400,77700,0.183,1148,0,0,1,0,1,2,4,1,90.80273973,112,0,1,0
3856,30800,68500,0.385,992,0,0,1,0,0,2,2,0,47.77260274,0,0,1,0
3857,25100,92700,0.153,1400,0,0,1,0,0,3,3,1,92.80273973,0,0,1,0
3858,13800,45100,0.13,720,0,0,1,0,0,2,3,0,80.79452055,0,0,1,0
3859,31100,114700,0.244,1296,644,0,1,1,1,4,2,1,29.75890411,484,0,1,0
3860,29600,104800,0.22,1250,0,120,1,1,0,3,3,1,63.78356164,0,0,1,0
3861,7500,49100,0.126,864,0,0,1,0,0,3,2,1,59.78082192,0,0,1,0
3862,22700,69300,0.152,972,200,0,1,0,0,2,3,1,80.79452055,110,0,0,0
3863,14000,41400,0.15,660,0,0,1,0,0,2,3,0,88.8,0,0,1,0
3864,16700,64300,0.152,872,0,340,1,0,0,2,4,1,93.80273973,0,0,1,0
3865,30200,131600,0.204,1235,200,48,1,1,0,3,4,1,51.77534247,0,0,1,0
3866,16800,62900,0.132,816,0,0,2,0,0,2,3,1,82.79726027,0,0,1,0
3867,23700,90800,0.211,857,600,128,1,0,0,2,2,1,19.75342466,0,0,1,0
3868,38200,215300,0.546,2048,0,244,1,2,1,3,5,1,24.75616438,484,0,1,0
3869,19700,103000,0.253,816,400,0,1,0,0,2,3,1,61.78082192,572,0,1,0
3870,29800,114800,0.2,1341,0,0,2,0,1,3,3,1,58.78082192,0,0,0,0
3871,36600,208400,0.471,1630,550,112,2,1,1,4,1,1,38.76712329,484,0,1,0
3872,28800,181600,0.388,1808,1288,357,3,0,2,3,3,1,43.76986301,462,0,0,0
3873,27000,133100,0.258,1410,672,0,2,1,1,4,2,1,39.76712329,0,0,1,0
3874,22400,62000,0.367,1040,280,72,1,0,0,2,2,0,55.77808219,0,1,0,0
3875,49200,185700,0.227,1714,0,0,2,0,2,3,4,1,63.78356164,215,0,1,0
3876,17000,82000,0.201,864,400,0,1,0,1,1,4,1,60.78082192,0,0,1,0
3877,18400,87600,0.174,834,240,232,1,0,0,3,2,1,38.76712329,0,0,1,0
3878,15200,50600,0.163,925,0,0,1,0,0,2,2,0,61.78082192,0,0,0,0
3879,28300,115700,0.237,1220,0,0,1,0,0,3,2,1,60.78082192,360,0,1,0
3880,37500,93300,0.612,844,0,32,1,0,0,2,2,1,62.78356164,0,0,1,0
3881,24500,65300,0.422,792,0,266,1,0,0,2,2,1,53.77534247,0,0,1,0
3882,25100,83900,0.195,1096,0,0,1,1,0,3,3,1,48.77260274,0,0,1,0
3883,39100,80000,0.441,1316,400,665,1,0,1,2,3,1,46.77260274,0,0,1,0
3884,28800,150800,0.254,1399,550,0,2,1,0,3,3,1,46.77260274,0,0,1,0
3885,21800,150600,0.137,1260,135,144,2,1,1,3,5,1,7.745205479,484,0,0,0
3886,23000,85700,0.188,910,600,0,1,0,0,3,2,1,32.76164384,0,0,1,0
3887,23800,153200,0.208,1664,0,120,2,1,1,3,3,1,9.745205479,400,0,0,0
3888,25000,92000,0.211,1158,0,0,1,0,0,3,2,0,44.76986301,0,0,1,0
3889,19100,68300,0.198,898,0,0,1,0,0,3,2,1,52.77534247,0,0,0,0
3890,27100,70800,0.193,660,330,140,1,0,0,2,2,1,61.78082192,0,0,1,0
3891,29800,136900,0.254,1732,0,0,2,1,1,3,3,1,19.75342466,440,0,0,0
3892,19900,60800,0.152,1080,0,0,1,0,0,2,3,1,97.80547945,0,0,0,0
3893,17400,80600,0.204,1069,384,160,1,0,0,4,2,1,55.77808219,0,0,1,0
3894,16700,62400,0.301,729,0,0,1,0,0,1,2,0,56.77808219,0,0,0,0
3895,18800,51400,0.152,876,0,0,1,0,0,2,3,0,92.80273973,0,0,0,0
3896,16100,74300,0.293,768,0,0,1,0,0,2,2,1,56.77808219,352,0,0,0
3897,28400,128500,0.201,1369,300,332,1,1,0,3,2,1,57.77808219,0,0,1,0
3898,26700,165300,0.152,1217,0,114,2,0,1,2,3,1,7.745205479,380,0,0,0
3899,11100,86300,0.459,1220,0,0,1,0,0,3,3,1,37.76438356,484,0,0,0
3900,29600,110900,0.25,1395,700,268,1,0,0,3,2,1,63.78356164,576,0,1,0
3901,17800,85300,0.186,888,0,0,1,0,0,2,3,1,48.77260274,0,0,1,0
3902,13500,77700,0.184,1434,0,248,1,1,0,3,2,1,74.79178082,0,0,1,0
3903,32900,143400,0.211,1635,0,288,2,1,1,3,3,1,11.74794521,462,0,0,0
3904,21700,119300,0.358,1288,500,140,1,1,2,3,3,1,57.77808219,380,0,1,0
3905,19000,77200,0.189,912,0,0,1,0,0,3,2,1,54.77808219,0,0,1,0
3906,15900,53700,0.153,720,0,0,1,0,0,2,3,0,93.80273973,0,0,1,0
3907,31600,75700,0.166,824,0,0,1,0,0,2,3,1,64.78356164,0,0,0,0
3908,32300,146500,0.21,1738,0,120,2,1,1,3,3,1,8.745205479,483,0,0,0
3909,30500,150200,0.197,2097,0,216,2,0,1,3,3,1,85.79726027,0,0,1,0
3910,21200,113600,0.197,1483,0,0,1,1,1,3,2,1,57.77808219,0,0,1,0
3911,30600,124400,0.18,1455,0,0,1,1,1,3,3,1,79.79452055,198,0,1,0
3912,4800,47500,0.137,839,0,0,1,0,0,2,3,0,107.8136986,0,0,1,0
3913,18500,55900,0.153,816,0,0,1,0,0,2,2,1,86.8,0,0,0,0
3914,15000,72900,0.162,830,0,0,1,0,0,2,2,1,66.78630137,180,0,1,0
3915,10000,42600,0.125,888,0,0,1,0,0,2,3,0,77.79178082,0,0,1,0
3916,16900,42500,0.164,768,0,0,1,0,0,2,2,1,88.8,0,1,0,0
3917,29500,115800,0.234,1300,0,208,1,1,1,3,2,1,53.77534247,0,0,1,0
3918,16300,87900,0.145,1064,385,111,1,0,0,3,2,0,35.76438356,0,0,1,0
3919,8900,54600,0.149,929,0,0,1,0,0,2,3,1,100.8082192,0,0,1,0
3920,16000,87000,0.153,880,0,0,1,0,0,3,2,1,54.77808219,0,0,1,0
3921,14600,63400,0.114,928,0,0,1,0,1,2,3,1,90.80273973,0,0,0,0
3922,16200,59000,0.15,792,0,0,1,0,0,2,3,1,87.8,0,0,1,0
3923,14500,51900,0.141,694,170,0,1,0,0,2,2,0,68.78630137,0,0,0,0
3924,19900,48200,0.22,806,0,124,1,0,0,2,2,1,64.78356164,0,0,1,0
3925,22900,111000,0.281,988,0,0,1,0,0,3,2,1,39.76712329,960,0,1,0
3926,10100,52000,0.106,528,0,0,1,0,0,1,2,1,61.78082192,336,0,0,0
3927,30500,96000,0.197,1408,0,312,1,1,1,3,3,1,84.79726027,0,0,1,0
3928,30600,109400,0.303,1302,350,40,2,0,1,3,3,1,62.78356164,0,0,1,0
3929,22400,87900,0.758,1370,0,160,1,0,0,3,2,1,60.78082192,400,0,0,0
3930,33900,67800,0.434,1454,0,0,1,0,0,4,3,1,80.79452055,0,0,1,0
3931,28500,46700,0.281,704,300,0,2,0,0,2,2,1,92.80273973,0,0,1,0
3932,20600,103800,0.246,810,760,0,1,1,0,3,2,1,49.77260274,325,0,0,0
3933,31400,77000,0.203,979,0,187,1,0,0,2,2,1,77.79178082,0,0,1,0
3934,20400,104800,0.133,1363,200,150,1,0,1,4,3,1,86.8,0,0,1,0
3935,13800,51700,0.149,676,0,0,1,0,0,2,2,0,65.78356164,0,0,1,0
3936,19860,86200,0.169,1225,0,0,1,0,0,3,3,1,78.79452055,0,0,1,0
3937,23200,95600,0.506,1349,0,280,1,0,0,4,3,0,62.78356164,0,0,1,0
3938,30900,119200,0.243,1004,384,100,2,1,0,3,3,1,8.745205479,140,0,0,0
3939,13700,64400,0.209,1037,0,120,1,0,0,3,2,1,61.78082192,0,0,1,0
